HostID,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
82145,85941,1,52.37609642,4.884574734,1,0,4,0,200,2,40,3,1,1.0,25,95.0,9.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0,2.0,2010-02-17,4845,50.0,0.5,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.6171309791701504
97647,27886,1,52.38672732,4.89207807,1,0,2,0,135,2,0,2,1,1.0,11,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,1.0,1.0,2010-03-23,4811,67.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,1.5163967677209509
98829,3985308,2,52.36695076,4.867029312,0,0,2,0,90,1,0,4,0,1.0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-03-25,4809,45.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.8458909225930897
98844,178841,5,52.38262451,4.878955874,0,0,4,0,95,2,30,3,1,0.8,29,85.0,9.0,8.0,9.0,9.0,9.0,9.0,1.5,1.0,1.0,2010-03-25,4809,23.75,0.25,0.25,0.375,2.5,0.625,8216.0,10270.0,9243.0,1.3916458343274103
106225,25488,6,52.36500978,4.943572387,0,0,6,0,120,4,25,4,1,1.0,69,91.0,9.0,9.0,9.0,9.0,8.0,9.0,1.0,3.0,3.0,2010-04-10,4793,20.0,0.5,0.5,0.16666666666666666,4.0,0.6666666666666666,6162.0,6847.0,6504.5,3.613016372907935
106241,25489,0,52.37531439,4.903689027,0,0,4,0,195,2,35,2,0,1.0,25,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1.0,2.0,2.0,2010-04-10,4793,48.75,0.5,0.5,0.25,3.0,0.75,6847.0,8216.0,7531.5,0.8203288560349058
119217,343195,0,52.36436233,4.897554031,2,1,2,0,100,2,0,2,1,1.0,38,88.0,9.0,7.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-06,4767,50.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.03841885628127
123414,2405985,7,52.37529835,4.857196176,0,1,2,0,60,1,0,2,0,1.0,39,89.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-05-12,4761,30.0,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.396414818732895
124245,28871,0,52.36610077,4.889528484,2,1,2,0,75,1,15,2,1,1.0,3,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-13,4760,37.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.7998081267078534
124912,270777,1,52.3678093,4.877908369,0,0,2,0,120,1,0,3,0,1.0,74,93.0,9.0,9.0,9.0,9.0,10.0,9.0,1.5,1.0,1.0,2010-05-14,4759,60.0,0.5,0.5,0.75,2.5,1.25,8216.0,10270.0,9243.0,1.137582732088138
125667,4052965,3,52.34982879,4.887147116,1,0,2,0,100,1,0,3,0,1.0,31,90.0,9.0,9.0,9.0,9.0,9.0,8.0,1.0,0.0,1.0,2010-05-16,4757,50.0,0.5,0.0,0.5,1.0,0.5,8216.0,10270.0,9243.0,2.612263908849369
125667,1018703,8,52.3504502,4.8861133,1,0,2,0,100,2,45,3,0,1.0,46,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,1.0,2010-05-16,4757,50.0,0.5,0.0,0.5,1.0,0.5,8216.0,10270.0,9243.0,2.554219512214539
126790,1088859,2,52.36793778,4.876497045,0,0,2,0,100,1,0,2,0,1.0,18,99.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-17,4756,50.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.2140171523945458
127233,29554,1,52.38050992,4.894188598,0,0,2,0,130,1,0,4,2,0.9,63,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-18,4755,65.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.835582246003478
127233,4120357,1,52.3805797,4.892336621,0,0,2,0,110,2,40,3,2,0.9,10,93.0,10.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-05-18,4755,55.0,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.8323518910783313
131462,30431,0,52.36325836,4.908473002,0,0,2,0,120,1,0,3,0,1.0,5,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.5,1.0,1.0,2010-05-25,4748,60.0,0.5,0.5,0.75,2.5,1.25,8216.0,10270.0,9243.0,1.5581576135461104
133347,3186920,2,52.36750276,4.875253281,0,0,2,0,95,2,15,2,1,0.76,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-05-27,4746,47.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.311558167419994
133488,31080,8,52.35132054,4.848382899,0,0,4,0,180,4,30,4,1,0.89,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,3.0,3.0,2010-05-27,4746,45.0,0.75,0.75,0.25,4.0,1.0,8216.0,10270.0,9243.0,3.844877601120344
