HostID,HostName,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
77484,Annelies,999908,Oud-Oost,52.35674793,4.924005845,Apartment,Entire home/apt,4,Real Bed,75,2,30,5,within a few hours,1.0,19,87.0,9.0,9.0,9.0,10.0,9.0,9.0,1.0,1.0,2.0,2010-02-04,4858,18.75,0.5,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,2.8292720242954785
77484,Annelies,2821480,Centrum-West,52.3770844,4.895307225,Apartment,Entire home/apt,4,Real Bed,140,2,30,3,within a few hours,1.0,19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0,4.0,2010-02-04,4858,35.0,1.0,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.4912724282598028
77484,Annelies,3414536,Westerpark,52.37359727,4.873286997,Boat,Entire home/apt,4,Real Bed,160,2,30,3,within a few hours,1.0,13,94.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-02-04,4858,40.0,0.25,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,1.2892620270341193
77484,Annelies,2821284,Centrum-West,52.37727689,4.8950297,Apartment,Entire home/apt,4,Real Bed,120,2,30,3,within a few hours,1.0,24,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,2.0,2010-02-04,4858,30.0,0.5,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.5031485494097703
82145,Wim,948808,De Pijp - Rivierenbuurt,52.35280372,4.908385671,Boat,Entire home/apt,6,Real Bed,140,2,35,3,within a few hours,1.0,10,83.0,8.0,8.0,8.0,9.0,8.0,8.0,1.0,2.0,3.0,2010-02-17,4845,23.333333333333332,0.5,0.3333333333333333,0.16666666666666666,3.0,0.5,8216.0,10270.0,9243.0,2.513226859246926
82145,Wim,4374110,Westerpark,52.38200517,4.8756299,Boat,Entire home/apt,6,Real Bed,200,4,35,3,within a few hours,1.0,2,90.0,9.0,10.0,10.0,9.0,8.0,8.0,1.0,2.0,2.0,2010-02-17,4845,33.333333333333336,0.3333333333333333,0.3333333333333333,0.16666666666666666,3.0,0.5,6847.0,8216.0,7531.5,1.5017365798100593
82145,Wim,2436846,Centrum-West,52.37121579,4.883911014,Boat,Entire home/apt,6,Real Bed,227,4,35,3,within a few hours,1.0,18,87.0,9.0,7.0,10.0,10.0,10.0,8.0,2.0,2.0,3.0,2010-02-17,4845,37.833333333333336,0.5,0.3333333333333333,0.3333333333333333,4.0,0.6666666666666666,8216.0,10270.0,9243.0,0.6022147982451594
82145,Wim,539036,Centrum-Oost,52.36265828,4.909767079,Boat,Entire home/apt,4,Real Bed,140,2,35,3,within a few hours,1.0,37,88.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,2.0,2.0,2010-02-17,4845,35.0,0.5,0.5,0.25,3.0,0.75,8216.0,10270.0,9243.0,1.6678580789219293
82145,Wim,85941,Centrum-West,52.37609642,4.884574734,Boat,Entire home/apt,4,Real Bed,200,2,40,3,within a few hours,1.0,25,95.0,9.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0,2.0,2010-02-17,4845,50.0,0.5,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.6171309791701504
97647,Flip,27886,Centrum-West,52.38672732,4.89207807,Boat,Entire home/apt,2,Real Bed,135,2,0,2,within a few hours,1.0,11,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,1.0,1.0,2010-03-23,4811,67.5,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,1.5163967677209509
