name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2013-03-16,15,6,9.6,15,3,8.6,2.5,61.9,0.573,100,8.33,rain,0,0,,23.8,88.2,1008.3,89.7,15.7,88.2,7.6,4,,2013-03-16T07:17:25,2013-03-16T19:16:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-17,6,2.7,4.5,5,-0.9,1.9,-1.6,65.3,0,0,0,,0,0,,25.1,29,1019.9,75,15.6,96.6,8.4,3,,2013-03-17T07:15:51,2013-03-17T19:17:27,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2013-03-18,4.1,0.8,3.3,3.1,-2.8,0.2,-1.4,72.7,7.67,100,33.33,rain,0,0,29.5,21.9,78.8,1022.3,98.8,11.7,57.7,5.1,2,,2013-03-18T07:14:18,2013-03-18T19:18:26,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-03-19,15.7,3.8,8.6,15.7,0.4,7.8,-1.9,57.5,0.022,100,8.33,rain,0,0,60.6,35.2,293.1,1009.6,65.4,16,233.5,20.1,8,,2013-03-19T07:12:43,2013-03-19T19:19:25,0.25,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"KDCA,72405013743,KADW,KDAA,74594013705"
washington DC,2013-03-20,11.8,3.8,8.2,11.8,0.1,5.9,-12.2,22.6,0,0,0,,0,0,63.8,36.1,277.2,1013,42.9,16,258.7,22.4,9,,2013-03-20T07:11:09,2013-03-20T19:20:23,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-21,6.1,-0.9,2.4,2,-5.5,-2.9,-10.1,40.5,0,0,0,,0,0,48.8,36.1,336.2,1009.9,78,15.9,132.9,11.5,5,,2013-03-21T07:09:35,2013-03-21T19:21:22,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-22,9.1,-2.2,3.3,6,-6.3,-0.5,-10.5,36.2,0,0,0,,0,0,48.2,29.1,303.5,1013.8,33.1,16,224.4,19.4,7,,2013-03-22T07:08:01,2013-03-22T19:22:21,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-23,12.9,0.8,6.4,12.9,-2.1,4.5,-7,39.1,0,0,0,,0,0,40.6,25.9,329.7,1015.7,30.2,16,263,22.7,9,,2013-03-23T07:06:26,2013-03-23T19:23:19,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-24,6.7,1.6,4.1,5.3,-1.5,1.5,-5.2,52.7,0.804,100,8.33,"rain,snow",0.3,0.2,,21.8,44.4,1011.8,88.9,15.2,91.6,7.7,3,,2013-03-24T07:04:52,2013-03-24T19:24:17,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-25,3.9,0.8,2.3,1.1,-3.6,-1.1,0.2,86.2,13.311,100,79.17,"rain,snow",0.8,1,,18,352.7,1002.1,99.3,9.9,90.9,7.7,3,,2013-03-25T07:03:18,2013-03-25T19:25:16,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2013-03-26,9.9,1.9,6,8.3,-1.2,3.3,-1.6,61.6,0,0,0,,0,0.1,40.7,22,311.5,1010.7,75.7,16,204.1,17.6,7,,2013-03-26T07:01:43,2013-03-26T19:26:14,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-27,10.7,4.1,7.2,10.7,0.6,4.1,-3.5,47.3,0.282,100,4.17,rain,0,0,48.7,33.3,305.3,1017.8,64.2,16,224.8,19.3,8,,2013-03-27T07:00:09,2013-03-27T19:27:12,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-28,9.1,4,6.9,6.3,0.4,3.8,-3.2,48.6,0,0,0,,0,0,46.9,31.2,307.8,1020.9,83.8,16,200.5,17.3,7,,2013-03-28T06:58:35,2013-03-28T19:28:10,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-29,13.8,5.9,9.6,13.8,3,8.3,-2.7,43.5,0,0,0,,0,0,43.7,36,319.1,1023.3,79.6,16,223.1,19.3,7,,2013-03-29T06:57:01,2013-03-29T19:29:08,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-30,15.8,4.8,10.3,15.8,2.7,9.9,-2.6,44.8,0,0,0,,0,0,33.5,14.7,290.2,1022,59.4,16,261.7,22.7,8,,2013-03-30T06:55:27,2013-03-30T19:30:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-03-31,12.9,7.7,10,12.9,6.1,9.5,4.4,68.8,0.578,100,8.33,rain,0,0,38.9,19.9,203.1,1013.7,92.7,15.2,69.4,6,3,,2013-03-31T06:53:54,2013-03-31T19:31:03,0.65,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KDCA,72405013743,KADW,KDAA,74594013705"
