name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2013-01-18,4.1,-0.2,2.4,2.8,-4.5,-1.7,-8.4,45.9,0,0,0,,0,0,51,31.5,319.4,1028.7,30.9,16,139.6,11.9,6,,2013-01-18T07:23:53,2013-01-18T17:13:47,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-19,12,0.9,5.6,12,-4.5,2.1,-4,51.6,0,0,0,,0,0,40.7,25.6,198,1024.7,5.4,16,140.3,12.1,6,,2013-01-19T07:23:24,2013-01-19T17:14:54,0.26,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-20,16,3.8,8.7,16,0.5,6.5,-6.1,37.7,0,0,0,,0,0,48.5,29.7,263.5,1013.7,21,16,139,12.1,5,,2013-01-20T07:22:52,2013-01-20T17:16:01,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-21,7.9,0.7,3.6,6.7,-5.2,0.1,-7.7,43.7,0,0,0,,0,0,46.4,29.2,9,1015.8,64.9,16,132.7,11.3,5,,2013-01-21T07:22:19,2013-01-21T17:17:08,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-22,0,-6.9,-4.8,-7.1,-14.9,-12.1,-19.6,30.9,0.012,100,4.17,"rain,snow",0,0,61.1,38.5,316.8,1021.9,22.7,16,149.1,12.9,6,,2013-01-22T07:21:44,2013-01-22T17:18:16,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-23,-3,-9.1,-5.6,-6.6,-14.9,-10.7,-18.4,36.8,0,0,0,,0,0,31.3,23.4,315.5,1025.6,59,15.9,126.5,10.9,4,,2013-01-23T07:21:06,2013-01-23T17:19:25,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-24,-1.9,-7.2,-4.9,-8.6,-15.3,-10.9,-13.3,55.5,0.841,100,12.5,snow,0.5,0.3,49.9,38,351.8,1027.2,67.7,11.3,97.2,8.4,4,,2013-01-24T07:20:27,2013-01-24T17:20:34,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-01-25,-4,-7,-5.6,-5.9,-13.2,-10,-14.8,50.8,0.521,100,8.33,snow,0.2,0.2,27.7,17.9,230.1,1027.4,92.3,14.8,43.9,3.8,2,,2013-01-25T07:19:46,2013-01-25T17:21:43,0.45,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-26,1.8,-4.3,-1.3,-1.9,-8.2,-4.3,-7.4,63.9,0,0,0,,0.1,0.1,27.7,16.7,331.3,1024.1,96.7,15.8,111.1,9.6,5,,2013-01-26T07:19:03,2013-01-26T17:22:52,0.5,Overcast,Cloudy skies throughout the day.,snow,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-27,3.1,-2.3,-0.1,0.5,-7.2,-3.3,-7.6,58,0,0,0,,0,0,,15.8,289.3,1033.9,73.3,16,142.6,12.3,6,,2013-01-27T07:18:19,2013-01-27T17:24:01,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-28,6.8,0.6,3.3,5.9,-4,-0.2,-0.2,78,3.302,100,29.17,"rain,snow",0,0,35.3,23.3,196.8,1025.5,90.4,11.1,86.4,7.4,4,,2013-01-28T07:17:32,2013-01-28T17:25:11,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-29,20.8,5.8,11.5,20.8,3.2,10.7,6.7,74.3,0,0,0,,0,0,,18.2,194.3,1018.2,73,14.7,119.2,10.2,6,,2013-01-29T07:16:44,2013-01-29T17:26:21,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-01-30,21,11.1,15.1,21,11.1,15.1,11.9,81.5,19.838,100,12.5,rain,0,0,51.8,34.7,185.8,1006,92.6,15.3,116,9.9,5,,2013-01-30T07:15:54,2013-01-30T17:27:31,0.62,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-01-31,18.1,0.8,8.1,18.1,-4,4.8,-2.9,47.5,9.075,100,58.33,rain,0,0,62.5,39.7,279.1,1002.3,62.7,15.3,156.6,13.6,6,,2013-01-31T07:15:02,2013-01-31T17:28:40,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-01,1.9,-5.9,-1.6,-0.2,-12,-7,-12.6,44.3,0.294,100,8.33,"rain,snow",0,0,61.3,37,292,1019.3,67.2,15,118.5,10.2,5,,2013-02-01T07:14:09,2013-02-01T17:29:50,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,KADW,KDAA,74594013705"
washington DC,2013-02-02,0,-7.2,-3.6,-2.1,-12.7,-7.6,-11.9,54.5,0.564,100,8.33,"rain,snow",0,0,34.9,22.1,231.4,1024.8,73.1,14,115.7,10,6,,2013-02-02T07:13:14,2013-02-02T17:31:00,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-03,1.7,-3.3,-0.3,0.9,-6.2,-2.4,-3.9,77.7,0,0,0,,0,0.1,50,20.7,247.9,1013.4,95.6,13.6,90.6,7.9,4,,2013-02-03T07:12:17,2013-02-03T17:32:10,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,KADW,KDAA,74594013705"
washington DC,2013-02-04,2.9,-3.2,0.2,2.9,-7.2,-3.3,-10.2,45.6,0,0,0,,0,0,42.7,24.1,262.1,1016.7,85.4,16,94.1,8.2,4,,2013-02-04T07:11:19,2013-02-04T17:33:20,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-05,5.8,1,3.2,3.8,-2.3,1.3,-3.6,61.4,0,0,0,,0,0,,10.9,58.4,1012.6,93.5,15.9,115,9.9,5,,2013-02-05T07:10:19,2013-02-05T17:34:30,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-06,8.8,1.6,4.5,5.7,-1.9,2.2,-3.5,57.6,0,0,0,,0,0,42.3,30.8,334.6,1021.3,48.5,15.5,163.4,14.2,6,,2013-02-06T07:09:18,2013-02-06T17:35:39,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-07,5,-0.2,2.4,2.2,-2.7,0.4,-4.5,60.6,0,0,0,,0,0,,23.3,87.2,1028.6,87.9,15.9,51.9,4.6,2,,2013-02-07T07:08:15,2013-02-07T17:36:49,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-08,6.7,1,3.8,3.2,-2.8,-0.2,-0.1,77.2,5.326,100,41.67,"rain,snow",0,0,57.6,34,345.7,1013.5,98.3,13.9,29.1,2.4,1,,2013-02-08T07:07:11,2013-02-08T17:37:58,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-02-09,5.7,-0.9,2.2,2.2,-8.5,-3.3,-9,44,1.9,100,25,"rain,snow",0,0,67.2,47.4,328.6,1022.5,35.3,16,174.8,15.3,7,,2013-02-09T07:06:05,2013-02-09T17:39:07,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KDCA,72405013743,KADW,KDAA"
